date,kwh
2026-05-01,8.7000
2026-05-02,8.6000
2026-05-03,7.6000
2026-05-04,7.0000
2026-05-05,7.2000
2026-05-06,6.5000
2026-05-07,6.7000
2026-05-08,7.1000
2026-05-09,7.0000
2026-05-10,6.9000
2026-05-11,6.4000
2026-05-12,7.2000
2026-05-13,6.1000
2026-05-14,5.8000
2026-05-15,7.1000
2026-05-16,7.2000
2026-05-17,7.6000
2026-05-18,7.7000
2026-05-19,7.4000
2026-05-20,0.0000
2026-05-21,0.0000
2026-05-22,0.0000
2026-05-23,0.0000
2026-05-24,0.0000
2026-05-25,0.0000
2026-05-26,0.0000
2026-05-27,0.0000
2026-05-28,0.0000
2026-05-29,0.0000
2026-05-30,0.0000
2026-05-31,0.0000
