date,kwh
2026-03-01,3.6000
2026-03-02,3.3000
2026-03-03,3.0000
2026-03-04,2.7000
2026-03-05,3.1000
2026-03-06,3.1000
2026-03-07,3.3000
2026-03-08,2.2000
2026-03-09,1.5000
2026-03-10,2.9000
2026-03-11,2.9000
2026-03-12,2.8000
2026-03-13,2.8000
2026-03-14,2.8000
2026-03-15,3.0000
2026-03-16,3.1000
2026-03-17,3.0000
2026-03-18,3.0000
2026-03-19,3.0000
2026-03-20,2.9000
2026-03-21,3.5000
2026-03-22,3.6000
2026-03-23,0.0000
2026-03-24,0.0000
2026-03-25,0.0000
2026-03-26,0.0000
2026-03-27,0.0000
2026-03-28,0.0000
2026-03-29,0.0000
2026-03-30,0.0000
2026-03-31,0.0000
