date,kwh
2025-12-01,0.9000
2025-12-02,0.9000
2025-12-03,0.9000
2025-12-04,2.2000
2025-12-05,5.9000
2025-12-06,6.6000
2025-12-07,5.8000
2025-12-08,5.5000
2025-12-09,6.4000
2025-12-10,5.7000
2025-12-11,7.4000
2025-12-12,5.8000
2025-12-13,5.9000
2025-12-14,6.0000
2025-12-15,6.6000
2025-12-16,5.7000
2025-12-17,5.6000
2025-12-18,6.3000
2025-12-19,6.0000
2025-12-20,6.2000
2025-12-21,4.7000
2025-12-22,5.0000
2025-12-23,2.6000
2025-12-24,3.0000
2025-12-25,2.7000
2025-12-26,2.7000
2025-12-27,5.8000
2025-12-28,5.2000
2025-12-29,5.6000
2025-12-30,6.1000
2025-12-31,6.3000
