date,kwh
2026-08-01,4.4000
2026-08-02,5.6000
2026-08-03,1.0000
2026-08-04,3.6000
2026-08-05,3.6000
2026-08-06,5.7000
2026-08-07,6.1000
2026-08-08,5.2000
2026-08-09,4.1000
2026-08-10,5.2000
2026-08-11,5.2000
2026-08-12,5.4000
2026-08-13,6.3000
2026-08-14,4.8000
2026-08-15,6.1000
2026-08-16,5.1000
2026-08-17,4.2000
2026-08-18,6.5000
2026-08-19,6.4000
2026-08-20,5.9000
2026-08-21,6.5000
2026-08-22,5.0000
2026-08-23,5.0000
2026-08-24,5.0000
2026-08-25,6.0000
2026-08-26,4.5000
2026-08-27,5.7000
2026-08-28,5.7000
2026-08-29,6.1000
2026-08-30,6.0000
2026-08-31,5.3000
