date,kwh
2025-12-01,2.8000
2025-12-02,3.0000
2025-12-03,2.8000
2025-12-04,5.6000
2025-12-05,5.5000
2025-12-06,5.0000
2025-12-07,5.6000
2025-12-08,6.4000
2025-12-09,5.3000
2025-12-10,4.7000
2025-12-11,5.5000
2025-12-12,5.4000
2025-12-13,4.9000
2025-12-14,5.3000
2025-12-15,5.5000
2025-12-16,6.1000
2025-12-17,4.9000
2025-12-18,4.6000
2025-12-19,6.0000
2025-12-20,4.9000
2025-12-21,3.9000
2025-12-22,5.8000
2025-12-23,6.1000
2025-12-24,5.1000
2025-12-25,6.1000
2025-12-26,5.5000
2025-12-27,5.2000
2025-12-28,6.9000
2025-12-29,5.0000
2025-12-30,6.1000
2025-12-31,6.8000
