date,kwh
2026-08-01,3.1000
2026-08-02,2.8000
2026-08-03,1.1000
2026-08-04,2.8000
2026-08-05,2.3000
2026-08-06,2.3000
2026-08-07,2.3000
2026-08-08,2.3000
2026-08-09,2.9000
2026-08-10,3.8000
2026-08-11,3.6000
2026-08-12,0.9000
2026-08-13,0.0000
2026-08-14,0.0000
2026-08-15,0.0000
2026-08-16,1.3000
2026-08-17,3.5000
2026-08-18,3.8000
2026-08-19,4.3000
2026-08-20,3.9000
2026-08-21,3.8000
2026-08-22,3.9000
2026-08-23,4.0000
2026-08-24,3.9000
2026-08-25,4.0000
2026-08-26,3.1000
2026-08-27,4.3000
2026-08-28,4.3000
2026-08-29,6.6000
2026-08-30,6.8000
2026-08-31,6.5000
