date,kwh
2026-01-01,5.0000
2026-01-02,5.4000
2026-01-03,4.7000
2026-01-04,4.3000
2026-01-05,4.5000
2026-01-06,4.6000
2026-01-07,3.7000
2026-01-08,3.8000
2026-01-09,3.8000
2026-01-10,4.6000
2026-01-11,4.4000
2026-01-12,4.3000
2026-01-13,4.7000
2026-01-14,4.6000
2026-01-15,3.3000
2026-01-16,3.3000
2026-01-17,2.8000
2026-01-18,4.4000
2026-01-19,5.3000
2026-01-20,5.0000
2026-01-21,3.5000
2026-01-22,3.6000
2026-01-23,5.0000
2026-01-24,4.4000
2026-01-25,4.5000
2026-01-26,4.3000
2026-01-27,1.2000
2026-01-28,0.0000
2026-01-29,0.0000
2026-01-30,0.0000
2026-01-31,0.0000
