date,kwh
2026-01-01,5.2000
2026-01-02,6.0000
2026-01-03,5.9000
2026-01-04,6.5000
2026-01-05,5.5000
2026-01-06,5.6000
2026-01-07,5.3000
2026-01-08,6.5000
2026-01-09,7.2000
2026-01-10,6.8000
2026-01-11,6.7000
2026-01-12,5.2000
2026-01-13,6.0000
2026-01-14,5.5000
2026-01-15,6.2000
2026-01-16,7.8000
2026-01-17,7.9000
2026-01-18,7.8000
2026-01-19,5.7000
2026-01-20,5.5000
2026-01-21,5.2000
2026-01-22,7.3000
2026-01-23,7.3000
2026-01-24,6.5000
2026-01-25,6.4000
2026-01-26,5.8000
2026-01-27,5.7000
2026-01-28,5.4000
2026-01-29,9.2000
2026-01-30,7.6000
