date,kwh
2025-12-01,7.5000
2025-12-02,9.7000
2025-12-03,1.8000
2025-12-04,2.4000
2025-12-05,7.4000
2025-12-06,11.8000
2025-12-07,13.6000
2025-12-08,10.1000
2025-12-09,9.0000
2025-12-10,4.8000
2025-12-11,7.8000
2025-12-12,11.2000
2025-12-13,11.0000
2025-12-14,11.3000
2025-12-15,10.2000
2025-12-16,8.3000
2025-12-17,7.0000
2025-12-18,10.0000
2025-12-19,11.3000
2025-12-20,7.0000
2025-12-21,11.1000
2025-12-22,12.2000
2025-12-23,12.3000
2025-12-24,12.5000
2025-12-25,12.7000
2025-12-26,11.1000
2025-12-27,12.1000
2025-12-28,11.9000
2025-12-29,10.9000
2025-12-30,12.6000
