date,kwh
2026-07-01,13.7000
2026-07-02,11.9000
2026-07-03,9.8000
2026-07-04,8.4000
2026-07-05,12.6000
2026-07-06,11.7000
2026-07-07,10.1000
2026-07-08,12.3000
2026-07-09,11.3000
2026-07-10,8.9000
2026-07-11,10.7000
2026-07-12,8.1000
2026-07-13,2.4000
2026-07-14,6.5000
2026-07-15,5.8000
2026-07-16,6.6000
2026-07-17,7.1000
2026-07-18,7.1000
2026-07-19,6.4000
2026-07-20,4.8000
2026-07-21,6.7000
2026-07-22,3.6000
2026-07-23,3.4000
2026-07-24,3.3000
2026-07-25,3.2000
2026-07-26,2.5000
2026-07-27,3.0000
2026-07-28,3.8000
2026-07-29,3.5000
2026-07-30,3.5000
2026-07-31,3.3000
