date,kwh
2025-12-01,4.4390
2025-12-02,4.3680
2025-12-03,5.1450
2025-12-04,11.3050
2025-12-05,10.1680
2025-12-06,9.4190
2025-12-07,11.0950
2025-12-08,13.8020
2025-12-09,11.0210
2025-12-10,9.8830
2025-12-11,10.4550
2025-12-12,8.8110
2025-12-13,12.2920
2025-12-14,12.0630
2025-12-15,11.9540
2025-12-16,11.1490
2025-12-17,10.0470
2025-12-18,8.1900
2025-12-19,11.9470
2025-12-20,12.0920
2025-12-21,8.2750
2025-12-22,11.5720
2025-12-23,12.6770
2025-12-24,12.0300
2025-12-25,13.3950
2025-12-26,8.0630
2025-12-27,7.2530
2025-12-28,7.3090
2025-12-29,8.4050
2025-12-30,7.3260
2025-12-31,7.4820
