date,kwh
2026-04-01,13.4000
2026-04-02,7.4000
2026-04-03,14.9000
2026-04-04,14.1000
2026-04-05,12.4000
2026-04-06,11.2000
2026-04-07,11.9000
2026-04-08,10.7000
2026-04-09,14.0000
2026-04-10,12.6000
2026-04-11,9.8000
2026-04-12,7.7000
2026-04-13,8.9000
2026-04-14,15.2000
2026-04-15,11.5000
2026-04-16,10.2000
2026-04-17,11.1000
2026-04-18,0.0000
2026-04-19,0.0000
2026-04-20,0.0000
2026-04-21,0.0000
2026-04-22,0.0000
2026-04-23,0.0000
2026-04-24,0.0000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
