date,kwh
2026-09-01,2.7000
2026-09-02,2.9000
2026-09-03,3.1000
2026-09-04,2.9000
2026-09-05,3.0000
2026-09-06,3.0000
2026-09-07,2.9000
2026-09-08,3.4000
2026-09-09,3.3000
2026-09-10,3.1000
2026-09-11,3.3000
2026-09-12,3.1000
2026-09-13,3.3000
2026-09-14,2.6000
2026-09-15,1.9000
2026-09-16,2.5000
2026-09-17,2.8000
2026-09-18,2.7000
2026-09-19,2.9000
2026-09-20,0.9000
2026-09-21,2.3000
2026-09-22,2.5000
2026-09-23,2.7000
2026-09-24,0.8000
2026-09-25,3.1000
2026-09-26,1.5000
2026-09-27,0.0000
2026-09-28,0.0000
2026-09-29,0.0000
2026-09-30,0.0000
