date,kwh
2026-01-01,6.7000
2026-01-02,5.4000
2026-01-03,9.0000
2026-01-04,8.1000
2026-01-05,7.6000
2026-01-06,6.1000
2026-01-07,6.1000
2026-01-08,4.6000
2026-01-09,6.6000
2026-01-10,8.1000
2026-01-11,7.2000
2026-01-12,6.9000
2026-01-13,8.2000
2026-01-14,8.7000
2026-01-15,9.0000
2026-01-16,8.8000
2026-01-17,8.6000
2026-01-18,8.4000
2026-01-19,8.2000
2026-01-20,8.7000
2026-01-21,8.7000
2026-01-22,8.7000
2026-01-23,8.8000
2026-01-24,8.6000
2026-01-25,9.1000
2026-01-26,8.7000
2026-01-27,7.8000
2026-01-28,8.2000
2026-01-29,7.0000
2026-01-30,7.1000
2026-01-31,0.0000
