date,kwh
2025-12-01,9.6000
2025-12-02,9.1000
2025-12-03,7.5000
2025-12-04,7.7000
2025-12-05,6.4000
2025-12-06,9.0000
2025-12-07,8.3000
2025-12-08,7.0000
2025-12-09,5.8000
2025-12-10,6.9000
2025-12-11,6.8000
2025-12-12,7.3000
2025-12-13,8.0000
2025-12-14,6.0000
2025-12-15,7.2000
2025-12-16,6.0000
2025-12-17,5.9000
2025-12-18,5.1000
2025-12-19,7.4000
2025-12-20,4.9000
2025-12-21,8.5000
2025-12-22,9.0000
2025-12-23,7.6000
2025-12-24,5.4000
2025-12-25,9.2000
2025-12-26,8.5000
2025-12-27,8.3000
2025-12-28,8.6000
2025-12-29,7.7000
2025-12-30,7.4000
