date,kwh
2026-05-01,14.4000
2026-05-02,14.7000
2026-05-03,13.6000
2026-05-04,13.9000
2026-05-05,9.8000
2026-05-06,14.9000
2026-05-07,13.6000
2026-05-08,12.2000
2026-05-09,10.7000
2026-05-10,9.2000
2026-05-11,7.2000
2026-05-12,7.8000
2026-05-13,4.3000
2026-05-14,1.9000
2026-05-15,10.9000
2026-05-16,7.1000
2026-05-17,13.4000
2026-05-18,13.5000
2026-05-19,13.7000
2026-05-20,13.4000
2026-05-21,12.5000
2026-05-22,3.2000
2026-05-23,14.2000
2026-05-24,0.0000
2026-05-25,11.3000
2026-05-26,13.6000
2026-05-27,10.1000
2026-05-28,13.4000
2026-05-29,11.5000
2026-05-30,14.9000
2026-05-31,14.0000
