date,kwh
2026-01-01,8.1000
2026-01-02,6.3000
2026-01-03,9.1000
2026-01-04,7.7000
2026-01-05,7.0000
2026-01-06,5.7000
2026-01-07,6.6000
2026-01-08,4.7000
2026-01-09,5.6000
2026-01-10,6.5000
2026-01-11,8.3000
2026-01-12,6.9000
2026-01-13,9.1000
2026-01-14,8.6000
2026-01-15,8.6000
2026-01-16,9.1000
2026-01-17,8.5000
2026-01-18,7.7000
2026-01-19,8.0000
2026-01-20,9.2000
2026-01-21,7.1000
2026-01-22,7.9000
2026-01-23,7.9000
2026-01-24,9.4000
2026-01-25,8.1000
2026-01-26,7.1000
2026-01-27,0.0000
2026-01-28,0.0000
2026-01-29,0.0000
2026-01-30,0.0000
2026-01-31,0.0000
